Real Estate,region,province,Location,other,Unknown,title,city,price,real estate agency,area,description,other,other,other,Unknown,immobiliare,address,website,Unknown,other
Subito - Garofalo Immobiliare - Soluzione indipendente a Palo del Colle - Appartamenti In vendita a Bari,Puglia,Bari (Prov),Palo del Colle,1/15,ID: 531461130,Soluzione indipendente a Palo del Colle,Palo del Colle (BA),78.000 €,Garofalo Immobiliare,100 mq,"A Palo del Colle, in zona semi-centrale e ricca di servizi e attività commerciali di ogni genere, precisamente in Via Cesare Cantù, proponiamo in vendita soluzione indipendente di 110 mq disposta su due livelli.
Al piano terra ritroviamo: comodo androne portone in ferro blindato da cui si accede a ampio vano e bagno con sanitari standard e box doccia.
Da una comoda scala si accede al primo piano composto da: due comode camere e bagno con sanitari standard e vasca.
Al secondo piano ritroviamo lastrico solare di 25 mq e due vani ad uso deposito di 22 mq con camino.
L'impiantistica è a norma di legge ma, non è conforme alla normativa vigente; l'impianto di riscaldamento è autonomo con caldaia e diffusori in ghisa.
La porta d'ingresso è in legno come anche le porte interne con apertura a battente.
Le finestre montano infissi in legno e vetro complete di persiane in pvc.
La pavimentazione è così delineata: in gran parte della soluzione ritroviamo i tavelloni di cemento con scaglie di marmo mentre nei bagni vi è la ceramica.
Esternamente la facciata si presenta in buone condizioni.
Perchè acquistare questo immobile? Semplicemente per l'indipendenza e la posizione centrale e la possibilità di realizzazione di un bed and breakfast.
Per ulteriori informazioni a riguardo o per fissare un appuntamento di visione dello stesso, non esiti a contattarci al seguente numero: 080 99 030 70.",Buono - abitabile,,,,Garofalo Immobiliare,"Via Giuseppe Mazzini, 174, 70032 Bitonto BA, Italia",http://www.garofaloimmobiliare.com,,531461130
Appartamento piano rialzato vendita - Appartamenti In vendita a Padova,Veneto,Padova (Prov),Selvazzano Dentro,1/6,ID: 531289023,Appartamento piano rialzato vendita,Selvazzano Dentro (PD),210.000 €,,70 mq,"Appartamento in prossimità di Selvazzano Dentro (PD), a confine con il comune di Abano Terme,Tencarola e Padova, al piano terra e con ampio giardino di mq 80 di proprietà in privato.Il residence offre di zona con due parchi, palazzina in stile moderno in tranquillo quartiere residenziale,l' unità è di 70 mq. interni, completamente arredato in vendita con cucina 2 camere da letto arredate con 2 bagni. 
Ubicazione all'interno dispone un ampio soggiorno cottura, 2 camere da letto, 2 bagni,con garage con ascesa da interno palazzina di mq.22 box auto, con giardino privato ingresso indipendente con cancelletto. -L'abitazione offre anche di una pavimentazione in parquet nelle due stanze delle camere da letto, con struttura rivestita perimetralmente da cappotto esterno in tutta abitazione a classe energetica prevista 'A4',con tutti i servizi di mezzi pubblici nelle vicinanze , negozi ed centro commerciali nelle vicinanze. Tutte le eventuali misure indicate sono da considerarsi approssimative. Si precisa che, per motivi di privacy, l'indirizzo e il puntatore della mappa sono puramente indicativi e non corrispondono esattamente all'ubicazione dell'immobile. Il Prezzo dell'immobile e possibile visionarlo e trattabile e viene venduto completamente arredato.",,Rialzato,2,,,,,,531289023
Trivano con cucina - Appartamenti In vendita a Cagliari,,,Selargius,1/6,ID: 531461304,Trivano con cucina,Selargius (CA),135.000 €,,95 mq,"SELARGIUS ZONA COMUNE
Appartamento sito al piano primo,all'interno di uno stabile di 6 unità abitative. Tipologia trivano composto da: ingresso, soggiorno, cucina abitabile, due camere da letto, altro disimpegno, bagno con doccia, tre balconi. Superficie commerciale esclusi i balconi è di 95 mq. L'immobile si presenta in buonissime condizioni d'uso poiché sono stati eseguiti di recente i lavori di ristrutturazione interna ad eccezione degli infissi esterni. 
Pompe di calore",Buono - abitabile,1,,1,,,,,531461304
Subito - dream immobiliare - Appartamento con terrazzo Via P. Barracano - Appartamenti In vendita a Napoli,Campania,Napoli (Prov),Giugliano in Campania,,ID: 531460961,Appartamento con terrazzo Via P. Barracano,Giugliano in Campania (NA),160.000 €,dream immobiliare,130 mq,"Proponiamo in vendita appartamento in parco tranquillo con servizio di portierato situato al secondo piano (senza ascensore) in ottime condizioni completamente ristrutturato circa un anno fa, e composto da: ingresso in salone, cucina abitabile, 3 camere da letto, 2 accessori, doppia esposizione con ampie balconate con ripostigli e cucinotto esterni, terrazzo di copertura, cantinola e posto auto di proprietà.

Il prezzo di vendita richiesto è di € 160.000,00",,2,4,,dream immobiliare,via san vito 7,http://www.agenziadreamimmobiliare.it,223 annunci online,531460961
Subito - Quality House Immobiliare - Appartamento - Viareggio - Appartamenti In vendita a Lucca,Toscana,Lucca (Prov),Viareggio,1/30,ID: 491430905,Appartamento - Viareggio,Viareggio (LU),600.000 €,Quality House Immobiliare,78 mq,"Rif: 31181015-478
Classe energetica: G - EPglnr: 259.45 kWh/m²
********************IMMOBILE PRENOTATO *******************IN ATTESA DI ROGITO 
RE/MAX Exclusive a Viareggio sul mare con POSTO AUTO!
In elegante palazzina si vende l'appartamento 'LEONE' 
a piano terra con giardinetto di proprietà e corte sul retro.
L'appartamento con ingresso indipendente ha ottime rifiniture come meglio potrete visionare nel ns. VIRTUAL TOUR
Si compone di ingresso- soggiorno, cucinotto, e bagno con doccia IDROMASSAGGIO
- Zona notte camera matrimoniale e camera doppia.
Dotazione :
 - impianto di aria condizionata
 - portone blindato
 - giardino privato
 - corte interna privata
 - posto auto di proprietà

COSA ASPETTI? CHIAMA E PRENOTA LA TUA VISITA!",-,,4,1,Quality House Immobiliare,"Via Aurelia Sud, 8a, 55049 Viareggio LU, Italia",http://www.remax.it/qualityhouse,222 annunci online,491430905
,Friuli-Venezia Giulia,Trieste (Prov),Trieste,,ID: 531460752,Primoingresso con ampio terrazzo di 70 mq,Trieste (TS),275.000 €,TAG SRL,69 mq,"VENDITA DIRETTA ESENTE MEDIAZIONE

In posizione centrale, a due passi dal Tribunale, in Via Fabio Severo 12-14 proponiamo in vendita grazioso trilocale di 69 mq al primo piano con finiture ricercate e di pregio.

Alloggio con ascensore al piano , composto di grande zona giorno con accesso al terrazzo di 70 mq, due ampie camere da letto, bagno finestrato con doccia .
L'appartamento in classe energetica A3 si trova in un palazzo completamente ristrutturato, con caldaia centralizzata e impianto fotovoltaico, riscaldamento a pavimento, predisposizione aria condizionata, parquet rovere senza nodi prima scelta, infissi SCHUCO.

Tutto lo stabile è stato soggetto a ristrutturazione integrale. Detrazione fiscale del 12,5 % in 10 anni sul prezzo di vendita.
Sono rimasti 9 appartamenti primoingresso e posti auto al piano interrato, per altre informazioni chiamare. Gli appartamenti sono già pronti per essere abitati.

VENDITA DIRETTA ESENTE MEDIAZIONE",Nuova costruzione,1,,1,TAG SRL,"Via Valdirivo, 23b, 34125 Trieste TS, Italia",https://affittoappartamentitrieste.it/,17 annunci online,531460752
Subito - atesinacasa - Appartamento con giardino - Appartamenti In vendita a Trento,Trentino-Alto Adige,Trento (Prov),Lavis,1/15,ID: 529313791,Appartamento con giardino,Lavis (TN),395.000 €,atesinacasa,148 mq,"LAVIS VENDIAMO IN ESCLUSIVA IN PICCOLA PALAZZINA -CAUSA TRASFERIMENTO- NUOVO E RIFINITO APPARTAMENTO TRE STANZE CON GIARDINO DI MQ 280, CON ARREDAMENTI PRESENTI.
UNITA' ABITATIVA LIBERA SU TRE LATI CON GRANDE CANTINA E GARAGE.
PER INFORMAZIONI ED EVENTUALE SOPRALLUOGO TELEFONARE ORE UFFICIO AL 348/5149604.",Nuova costruzione,0,5,,atesinacasa,"Piazza di Centa, 38122 Trento TN, Italia",,31 annunci online,529313791
Subito - L'IMMOBILIARE.COM - Quartiere la palma luminoso pentavano - Appartamenti In vendita a Cagliari,,,,1/4,ID: 531461300,Quartiere la palma luminoso pentavano,,200.000 €,,,"Nel quartiere la Palma in prossimita' dell'uscita verso il campo Rossi vicino alla fermata dell'autobus e a due passi dal mare, vi proponiamo un interessantissimo pentavano di mq. 135 al primo piano di un piccolo condominio.
L'immobile si compone da un ingresso/disimpegno, un salone con finestra e porta finestra che affaccia su un comodo balcone , soggiorno ,cucina abitabile ,bagno, servizio, tre camere da letto e ripostiglio .
Le caratteristiche vincenti dell'appartamento sono sicuramene la sua conformazione interna ben suddivisa tra zona giorno e zona notte , gode di un immensa luce solare e attualmente si trova nello statto originario del periodo costruttivo , per cui ha bisogno di interventi di ristrutturazione che lo renderebbero decisamente più accogliente e comodo.
Sicuramente è l'ideale per chi cerca un appartamento familiare dalle dimensioni generose immerso nella tranquillità del quartiere ma vicino all'asse mediano che consente tutti gli spostamenti da e per la città.
Completa la proprietà una cantina sotto i pilotis .
Euro 200.000,00

Per ulteriori informazioni sui nostri immobili, per visionarli se interessati o per trovare, tra le nostre numerose offerte, la soluzione perfetta per le vostre esigenze
visitate il nostro sito
http://www.cagliarisanbenedetto.limmobiliare.com/
oppure chiamateci ai numeri 070/497965-3914736339
e-mail limmobiliaresanbenedetto@gmail.com",Da ristrutturare,,5,,,,,,531461300
Subito - G.L. IMMOBILIARE - MONFALCONE Bicamere termo-autonomo ristrutturato - Appartamenti In vendita a Gorizia,Friuli-Venezia Giulia,Gorizia (Prov),Monfalcone,1/16,ID: 531460131,MONFALCONE Bicamere termo-autonomo ristrutturato,Monfalcone (GO),112.000 €,G.L. IMMOBILIARE,80 mq,"Proponiamo vicino a tutti i servizi un appartamento al primo piano di palazzina di pochi enti completamente ristrutturato. Composto da ingresso, soggiorno con uscita nel terrazzo, cucina defilata con veranda, disimpegno notte con accesso alle due comode camere, bagno completo, lavanderia e secondo terrazzo. Termo-autonomo!!! Clima. Arredato completamente!!! L'immobile verrà venduto con il bagno completamente ristrutturato!!!",,1,,1,G.L. IMMOBILIARE,"Via Aquileia, 51, 34074 Monfalcone GO, Italia",http://www.gl-immobiliare.it,26 annunci online,531460131
Bell'appartamento Albignasego centro 5 locali - Appartamenti In vendita a Padova,Veneto,Padova (Prov),Albignasego,1/5,ID: 531461117,Bell'appartamento Albignasego centro 5 locali,Albignasego (PD),800 €,,110 mq,"In contesto centrale ma tranquillo si affitta appartamento in bifamiliare al piano primo su due livelli composto da tre camere due bagni finestrati salone e cucina due terrazzi, garage e posto auto interno. Piccolo scoperto di pertinenza.
Abitabile da giugno classe B
Corredato solo di cucina
PER INFO e visione LASCIARE RECAPITI VIA SUBITO
Solo REFERENZIATI 
No agenzie grazie",,1,5,,,,,,531461117
Subito - Agenzie Immobiliari Espansione - PE 272 Appartamento Pescara centro - Appartamenti In vendita a Pescara,Abruzzo,Pescara (Prov),Pescara,1/10,ID: 530415192,PE 272 Appartamento Pescara centro,Pescara (PE),360.000 €,Agenzie Immobiliari Espansione,180 mq,"Vendesi in contrada San Giovanni, sulla prima collina del comune di Montesilvano, a pochi minuti d'auto dai centri urbani, da tutti i principali servizi e dal mare, villa singola di mq. 160 circa comm di recente costruzione in stile country, con tetto coibentato in legno lamellare ventilato a vista e finiture di pregio. L'immobile si sviluppa su 2 livelli ed è così composto: piano terra ingresso-soggiorno, cucina abitabile, bagno, ripostiglio e taverna; al piano primo 3 camere, cabina armadio, disimpegno, bagno e balconi. La soluzione si presenta con ottime finiture e stato conservativo pari al nuovo ed è dotato di infissi in alluminio con vetro camera, impianto elettrico in domotica, quattro unità di climatizzazione, termoautonomo con caldaia a gas e stufa a pallet (possibilità di installazione di camino), impianto di allarme con videosorveglianza. Tra le altre caratteristiche: impianto di irrigazione giardino, graziosa tettoia in legno in giardino attrezzata con barbecue per bellissime serate conviviali. Corte esterna recintata con cancello automatizzato di circa 200 mq. Classe energetica 'D'. Prezzo richiesto EURO 280.000, 00. Per questo annuncio rivolgersi: Agenzia Immobiliare Espansione sede di Montesilvano, c. so Umberto I, 496 Tel. 0854458995 ; mob. 3289211433",Buono - abitabile,2,5,,Agenzie Immobiliari Espansione,"Viale Alcione, 41 e Viale Nettuno, 83",http://www.espansioneimmobiliare.com,84 annunci online,530415192
Palazzina 2 piani - Appartamenti In vendita a Sassari,,Sassari (Prov),Sassari,1/6,ID: 531460595,Palazzina 2 piani,Sassari (SS),150.000 €,,250 mq,"Vendo casa indipendente, ingresso 35mq. , primo piano 120 mq, n' 7 stanze,due bagni,due terrazzini, secondo piano Mansardato mq, 90 da rifinire, con 1 terrazzo panoramico di mt. lineari 16 ,con lavandino forno pizza o arrosto e un cavelio da 16 mt. possibilita' di dividere X due appartamenti . prezzo 160.000 euro trattabili. 3926812080. Ubicazione; via delle Concie 51,con tutti i Servizi a portata di persona, ad un passo dall'uscita della Citta', Trenino di Superfice,Ospedali, Supermercati, Officine Auto / Moto .",Buono - abitabile,0,7,,,,,,531460595
Subito - Immobi3 di Paolo Novelli & c. - s.a.s - P.le Camerino valido bilocale uso investimento - Appartamenti In vendita a Ancona,Marche,Ancona (Prov),Ancona,1/6,ID: 531459872,P.le Camerino valido bilocale uso investimento,Ancona (AN),57.000 €,Immobi3 di Paolo Novelli & c. - s.a.s,52 mq,"A4550 - P. LE CAMERINO - Nelle immediate vicinanze di Piazzale Camerino proponiamo in vendita bilocale di 52 mq, in buone condizioni generali, posto al piano primo ed ultimo, senza ascensore, composto da:
ampio ingresso con ripostiglio, sala con cucina a vista, camera da letto matrimoniale, bagno finestrato con box doccia.
Soluzione valida sia ad uso abitativo che ad uso investimento.
Nessuna spesa di condominio. 
Riscaldamento autonomo. 
Richiesta: 57.000 € trattabili.
Per informazioni: 3311124080",Buono - abitabile,1,2,1,Immobi3 di Paolo Novelli & c. - s.a.s,"Via Giacomo Matteotti, 79, 60121 Ancona, Italia",http://www.immobi3.it,29 annunci online,531459872
,Sicilia,Palermo (Prov),Palermo,1/30,ID: 531460723,4 vani 120 mq con Spazio Esterno di 80 mq P. Auto,Palermo (PA),250.000 €,Imprendocasa Via Libertà 38,120 mq,"Appartamento 4 vani di 120 mq con spazioso Giardino privato di 80 mq complessivi e Posto Auto, situato in una posizione strategica tra viale Strasburgo e via Belgio, nella rinomata Via Monti Iblei. 
L'immobile è ubicato al piano rialzato con una tranquilla villetta antistante pari a 65 mq e uno spazio esterno retrostante pari a 15 mq.
La casa è composta da: doppio ingresso, 4 stanze, cucina con annessa veranda ed accesso allo spazio esterno di retro-prospetto, 2 servizi, balcone, spazio esterno antistante.
Ideale per ospitare una famiglia con il sogno di abitare in piena città, in una zona residenziale con la possibilità di godere di ampi spazi verdi e di avere un amico a quattro zampe. La sua posizione ideale nelle vicinanze di Resuttana, San Lorenzo, Strasburgo e De Gasperi offre comodità e servizi a portata di mano. Peg. T 5175
Non perdere l'opportunità di vivere in questa splendida casa che unisce comfort, spazio e natura in un unico luogo! 
ausonia, briuccia, europa, liguria, emilia, mazara, empedocle, restivo, valdemone, aldisio, nebrodi, villa, sofia, sciuti.",Buono - abitabile,0,4,,Imprendocasa Via Libertà 38,Via della Libertà 38,http://www.imprendocasa.it,71 annunci online,531460723
