HotelName,HotelDescription,PriceRange
Hotel Library Amsterdam,"Hotel Library is located in Amsterdam city center, right across the Central Library (Openbare Bibliotheek). This inspired to build our very own and modest library in the hotel. Apart from nice accommodation, in the hotel you will also find an excellent selection of books on variety of subjects. While staying in our hotel also enjoy reading a book about science or history, broaden your horizon with travel books, rediscover the classics and surprise yourself with a book that excites you or just pick up an evergreen for good old relaxation.From the date of: 01/01/2020 City Tax of 7% + 3 euros per person and per night to be paid directly at the hotel.",EUR 40 - EUR 81
Athens Town Hall Art Loft,"Located a 7-minute walk from Omonia Square and half a mile from Monastiraki Square, Athens Town Hall Art Loft in Athens has air-conditioned accommodations with views of the city and free WiFi. Each unit comes with a fully equipped kitchen with a microwave, a seating area with a sofa, a flat-screen TV, a washing machine, and a private bathroom with shower and a hairdryer. A fridge, a stovetop and toaster are also available, as well as an electric tea pot and a coffee machine. Guests can also relax in the shared lounge area. Popular points of interest near the condo hotel include National Theatre of Greece, University of Athens and Ermou Street. The nearest airport is Eleftherios Venizelos Airport, 20 miles from Athens Town Hall Art Loft.WiFi is available in all areas and is free of charge. No parking available. Pets are not allowed. All children are welcome. There is no capacity for extra beds in the room. The maximum number of total guests in a room is 5. There is no capacity for cribs in the room.",EUR 20 - EUR 40
Onkel Rada Residence,"Ideally located in the Kemer-West Gulf area, Onkel Rada Residence promises a relaxing and wonderful visit. The property features a wide range of facilities to make your stay a pleasant experience. Service-minded staff will welcome and guide you at Onkel Rada Residence. Each guestroom is elegantly furnished and equipped with handy amenities. The property offers various recreational opportunities. Friendly staff, great facilities, and close proximity to all that Antalya has to offer are three great reasons you should stay at Onkel Rada Residence. Guests over 1 years old are considered as adults.",EUR 19 - EUR 38
MEDITERRANEO,"Property Location When you stay at Hotel Mediterraneo in Guardamar del Segura, you'll be near the beach, within a 15-minute drive of La Mata Beach and La Marina Beach. This hotel isRefundable",EUR 0 - EUR 0
Ramada Plaza,"In the vicinity of the hotel`s own beach and approximately 200 m from the sea is located the hotel Ramada Plaza By Wyndham Antalya. The old town is around 2 km away. A supermarket is around 500 m away. On the beach are cushions, sun umbrellas and beaIn the vicinity of the hotel`s own beach and approximately 200 m from the sea is located the hotel Ramada Plaza By Wyndham Antalya. The old town is around 2 km away. A supermarket is around 500 m away. On the beach are cushions, sun umbrellas and beach towels available. At the beach there is a bar serving refreshing drinks. The hotel is equipped with a 24h reception, a lobby bar, Wi-Fi, a lift, a supermarket, a hairdresser, a first aid kit as well as parking spaces. In the outdoor area you will find a pool that is open seasonally, where sun loungers and sun umbrellas are available for free. Inside the hotel you can use an indoor pool. For very young guests, highchairs can be provided. You can store your luggage in the hotel's storage room. There is also a laundry service available at an additional cost to customers. For your comfort",EUR 71 - EUR 143
Cetate Imparatul Romanilor,"LocationWith a stay at Hotel Cetate Imparatul Romanilor in Alba Iulia, you'll be just steps from Orthodox Cathedral and Framm's. This hotel is 0.2 mi (0.3 km) from Catholic Cathedral and 0.3 mi (0.5 km) from Alba Lulia Citadel.RoomsStay in one of 110 guestrooms featuring flat-screen televisions.DiningAt Hotel Cetate Imparatul Romanilor, enjoy a satisfying meal at the restaurant.Business, Other AmenitiesFeatured amenities include a 24-hour front desk, luggage storage, and an elevator. Free self parking is available onsite.Know Before You GoCheck In: 12:00 PMCheck Out: 12:00 PMExtra-person charges may apply and vary depending on property policy. Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges. Special requests are subject to availability upon check-in and may incur additional charges. Special requests cannot be guaranteed. Guests must contact this property in advance to reserve cribs/infant beds.",EUR 31 - EUR 63
Lara Diamond Hotel,"6 minutes walk from the beach. Situated 600 m from Lara Beach, this hotel features an outdoor pool with free sun loungers and parasols. Guests can enjoy various water sports activities at a surcharge. Free Wi-Fi in all areas and free on-site parking is available. All rooms at Lara Diamond Hotel include air conditioning, a flat-screen TV with satellite channels and a balcony with pool, garden or sea views. Private bathroom comes with free toiletries, slippers and a hairdryer. The hotel's restaurant serves breakfast as an open buffet, and an à la carte menu for lunch and dinner with tastes from Turkish cuisine. The bar is ideal for refreshing drinks and snacks. Guests can enjoy their food and drinks either inside or outside by the pool area. You can play a game of table tennis or get a massage by the pool. Car rental, room service and a tour desk are available. Ornekkoy Beach is a 7-minute walk from the site. Antalya Airport is 11 km from Lara Diamond Hotel. Antalya city centre is 12 km away.",EUR 31 - EUR 63
Azuga Ski & Bike Resort,"Quietly set in Azuga, just 50 metres from the Sorica Ski Slope and 100 metres from a private cable car, Azuga Ski & Bike Resort offers free WiFi, access to a fitness room, and an à la carte restaurant with international dishes.All rooms are equipped with a balcony with views of the Bucegi or Baiului Mountains, a cable TV, a minibar, and a private bathroom with a bathtub, free toiletries, and a hairdryer.Azuga Ski & Bike Resort also features an on-site bar, and, at a surcharge, guests have access to a sauna.Other facilities at the hotel include free private parking, free ski storage, and on-site ski equipment rental.The nearest bus stop is 250 metres away, and the train station is 2.5 km from the property. The Sinaia Resort, with the Peles Castle, is 15 km away.Check-in 16:00Key collection at the property.",EUR 28 - EUR 56
Havana Resort,"Property Location With a stay at Havana Resort, you'll be centrally located in Antananarivo, just a 4-minute walk from Musee Andafivaratra and 6 minutes by foot from Mahama SinaRefundable",EUR 52 - EUR 104
Cesta Grand Aktivhotel & Spa,"LocationThe hotel enjoys a quiet location in the Gastein Valley, surrounded by the majestic Hohe Tauern Mountains. A cross-country ski run passes directly by the hotel.FacilitiesThe hotel has a lift and features 111 rooms. The 24-hour reception desk makes arrival and departure effortless. Amenities include a cloakroom, a safe and a currency exchange service. Wireless internet access allows guests to stay connected while on holiday. The grounds of the hotel feature a playground and a lovely garden. Additional amenities include a TV room and a playroom. Guests arriving by car can park their vehicles in the garage or in the car park. Further services and facilities include a babysitting service (for a fee), room service, a laundry service and a hairdresser. Bicycle storage is available to guests. There is a bike hire service as well.RoomsRooms are equipped with air conditioning and individually adjustable heating. Some rooms include a balcony. All rooms are carpeted and include a king-size bed and a sofa bed. Children's beds can be requested for younger guests. A safe, a minibar and a desk are also available. Guests will also find a tea/coffee station included among the standard features. A direct dial telephone, a television with satellite/cable",EUR 116 - EUR 233
W Amsterdam,"Property Location With a stay at W Amsterdam, you'll be centrally located in Amsterdam, steps from The 9 Streets and 3 minutes by foot from Madame Tussauds. This 5-star hotel is 0.2Nonrefundable",EUR 436 - EUR 873
Bilem High Class,"Overlooking the Mediterranean from its slightly elevated position, this hotel is only 150 m away from the sea. The city centre of Antalya with its shops is at a distance of 5 km, the international airport at 10 km. The non-smoking hotel features 81 rooms, 24-hour reception, express check-in and check-out, concierge service, currency exchange, free WIFI throughout, meeting rooms, 2 restaurants, 3 bars, outdoor and indoor pool, spa and wellness, fitness centre, ticket service and car hire. Facilities for disabled guests.",EUR 38 - EUR 77
Residence Ambient,"Residence Ambient is a charming 3-star property offering comfortable accommodation near the heart of Brasov. It boasts free Wi-Fi and a good location close to the old town. Brasov is a historic city with some fine architecture including medieval alleys, Saxon citadels and fortified churches. Nearby places of interest include the Black Church, Mount Tampa and the First Romanian School Museum. Local bus services provide fast and easy access to other popular Brasov destinations. The hotel is housed in a smart mid-rise building with a light-coloured facade and white window frames. Free Wi-Fi is available throughout the premises. Standard rooms are decorated in a simple elegant style with neutral and earth tones. Some rooms feature exposed beams. Amenities include a fan, work desk and satellite TV. The en-suite bathrooms feature a walk-in shower. A shared kitchen and lounge is provided. There are also plenty of dining opportunities in the vicinity. Free parking is possible onsite.***Please note guests are required to check-in at Pensiune Ambient, situated at 62 Iuliu Maniu Street.***.",EUR 34 - EUR 69
London Hotel,"HOTEL: This urban hotel with air-conditioning, has a lobby, with a reception, a safety deposit box service and a currency exchange service. Regarding the food and beverage offering, the establishment has a café, a bar and a restaurant. The establishment offers conference facilities, internet and WiFi. It has a car park, There are many services available at the establishment, including room service and a laundry service (for a fee). SITUATION: This hotel is situated 17 kilometres away from the airport, is situated 12 kilometres away from Pireo the city centre of 100 metres away, guests will find the sea, a beach and a tram station. it is in an excellent location, is well-connected with Athens the city of Where you can find entertainment, leisure areas and business zones. ROOM: The establishment has 75 comfortable rooms, They are equipped with an air-conditioning system, a satellite TV, a direct line telephone, a mini-bar, a hairdryer and a safe. The rooms a bathroom with a shower or bath, They have a coffee maker and a kettle. some rooms even have a balcony with sea views.",EUR 74 - EUR 148
Grand Continental Flamingo,"LocationThis hotel is located in Abu Dhabi. The nearest airport is Abu Dhabi - International (AUH).FacilitiesGuests can enjoy the pleasant ambience of one of the 155 rooms. Services and facilities include 24-hour room service, a conference room and a business centre. Wireless internet access allows guests to surf the internet and catch up on email. The hotel has wheelchair-accessible facilities.RoomsRooms are equipped with air conditioning. Valuables can be securely stored in a safe. Additional features include a refrigerator, a mini fridge and a tea/coffee station. WiFi ensures additional comfort. The hotel has family rooms, 66 non-smoking rooms and 1 smoking room.Sports/EntertainmentAfter an eventful day, guests can work out and recharge in the gym. Copyright GIATA 2004 - 2019. Multilingual, powered by www.giata.com for client no. 124971MealsA restaurant, a dining room and a bar are available to guests.",EUR 51 - EUR 102
Al Diar Mina,"This city hotel is located on Mina Road, close to Abu Dhabi’s business and commercial districts. The city centre is 2 km from the accommodation and Abu Dhabi International Airport is some 45 km away.",EUR 103 - EUR 206
Atlantic Palace,"The hotel is located just 500 m from the city centre, at the heart of a beach area and within a mere 300 m of the hotel’s own private beach. Agadir Almassira airport is 25 km away and may be reached by car in around 30 minutes. Facilities The establishment comprises a total of 330 accommodation units. A lobby and a reception are available to guests. A lift can be used to access the upper floors. Amenities include currency exchange facilities. Internet access and wireless internet access (no extra charge) are available in the public areas. Gastronomic options include a restaurant and a bar. Shopping facilities are available. The grounds of the establishment feature a playground and an attractive garden. A TV room is also among the amenities at the establishment. Guests arriving by car can park their vehicles in the garage or car park. Additional services include a babysitting service, room service, a laundry and a hairdressing salon. A shuttle service is offered. Active guests can make use of the bicycle hire service to explore the surrounding area (for a fee). Rooms All accommodation units feature air conditioning, central heating, a kitchen and a bathroom. A balcony or terrace",EUR 62 - EUR 124
Crystal Waterworld Resort & Spa,"Our hotel is located on Belek-Bo¿azkent and it has the most assertive Aquapark of the Mediterranean region as well as a sand and pebble beach. Its Aquapark offers you the chance of adventure and adrenalin with its two different towers. Our hotel has been awarded by HdCh Quality Selection and it has Green Star, Green Key, Blue Flag and White Flag prizes. Crystal Waterworld Resort and Spa is the region's biggest hotel and is a holiday paradise especially for families with children with its wideness and variety. Every detail has been considered for you to have a comfortable holiday. All our rooms have either a balcony or a terrace and all of them has been decorated carefully. Our hotel is 40 km away from Antalya Airport and 50 km away from city centre.",EUR 100 - EUR 201
Orient Suite,"Facilities and services include restaurant, bar, garden, sauna (extra charge), snack area, swimming pool, children`s pool, childrenÂ´s playground, wireless Internet access, elevator, balcony and 24-hour reception. Rooms feature telephone, TV, safe (extra charge), air conditioning (extra charge), heating, minibar (extra charge), wireless Internet access, hairdryer and bathroom. ** Please note that some of the above facilities may be closed due to weather / seasonal conditions.** Address: GÃ¼ller Pinari Mah. Mollaosman Sok. No:13, 07400 Alanya, Turkey. Located 800 m from the beach, 2 km from Alanya center, 3 km from Alanya Archaeological Museum, 3.5 km from Red Tower and from a marina.",EUR 16 - EUR 33
Melpo Antia Luxury Apartments & Suites,"Property Desc: Property Location With a stay at Melpo Antia Luxury Apartments andamp; Suites in Ayia Napa, you'll be minutes from Agia Napa Monastery and Ayia Napa Monastery. This 4-star aparthotel is within close proximity of Thalassa Museum and Grecian Bay Beach. Rooms Make yourself at home in one of the 130 air-conditioned rooms featuring refrigerators and flat-screen televisions. Rooms have private balconies. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Bathrooms have bathtubs or showers and hair dryers. Rec, Spa, Premium Amenities Enjoy a range of recreational amenities, including an outdoor pool, a spa tub, and a sauna. Additional amenities include complimentary wireless Internet access and tour/ticket assistance. Dining This aparthotel offers both all-inclusive and room-only rates. Meals and beverages at onsite dining establishments are included in all-inclusive rates. Charges may be applied for dining at some restaurants, special dinners and dishes, some beverages, and other amenities. Satisfy your appetite at the aparthotel's restaurant, which serves breakfast and dinner, or stay in and take advantage of room service (during limited hours). Business, Other Amenities Featured amenities include a 24-hour front desk, laundry facilities, and coffee/tea in the lobby. Free self parking is",EUR 95 - EUR 191
Chelsea Gardens Hotel Apartments,"Chelsea Gardens Hotel Apartments 7 nights FLEXI DUBAI TOAMNA 2020(Vat) Rates are inclusive of 5% Value Added Tax starting from 01st January 2018 Tourism Dirham Fee per bed room per night is payable by the guest upon departure. Check-in time: 14:00 hrs, Check-out time: 12:00 hrs Late check out until 18:00 hrs",EUR 0 - EUR 0
Novotel Abu Dhabi Al Bustan,"This 4 star hotel is located within the city of Abu Dhabi and was established in 2011. It is a short drive away from the Adnec. The Hotel has a coffee shop, an outdoor swimming pool and a fitness centre/gym. All 361 rooms are equipped with minibar, hairdryer, safe, trouser press, ironing set and air conditioning.From the date of: 31/05/2016 City Tax payable directly at the hotel.",EUR 54 - EUR 109
Club Esse Roccaruja,"Property Location With a stay at Club Esse Roccaruja in Stintino, you'll be on the beach, within a 10-minute drive of La Pelosa Beach and Museo della Tonnara. This 4-star hotel isNonrefundable",EUR 41 - EUR 82
Kur- Und Sporthotel Alpenblick,"The individual family-run Spa and Sports Hotel Alpenblick is set apart by its unique location and magnificent panoramic views of the Gasteinertal.Center: historic center of Bad Gastein 800 m, Public indoor pool: Thermal bath Bad Gastein 1,7 km, Grocery Store: 2 km, Shopping: Bad Gastein 800 m, Bus stop: directly at the hotel, Train station: Bad Gastein 2 km, Airport: Salzburg 100 km, Glacier: Kaprun 50 km, Resort Altitude: 1000 m, Public outdoor pool/lake: 2 km, Ski lift: 500 m, Bus stop: at the property, Hotel Shuttle: free of charge, on request from and to the train station Bad Gastein between 08:00 and 20:00 o'clock, Pre-registration until one day before.Reception, lobby with play room, Library, TV-room with Sat-TV, WLAN: payable on site, Bicycle storage, Lift, Parking: free of charge, Panorama Restaurant, Bar, Terrace, Lawn, Umbrellas: free of charge on the sunning lawn, Deckchairs: free of charge on the sunning lawn.2-3 bed bath/shower/WC, 14 - 19 m², 2-4 bed bath/shower/WC, view to the Gasteinertal, ~ 19 m², 1 bed bath/shower/WC, ~ 14 m².Tourist tax: Euro 2,70 per person/night (+ 15 years).Outdoor pool: heated 8 x 3 m (weather dependent), 24 m², Steam bath, Finnish Sauna, Infra-red cabin, Relaxation room, Kneipp facilities",EUR 97 - EUR 195
Saadiyat Rotana Resort & Villas- Abu Dhabi,"/2Saadiyat Rotana Resort & Villas- Abu Dhabi 7 nights REVELION 2020/2021(Vat) Rates are inclusive of 5% Value Added Tax starting from 01st January 2018. Contracted rates valid to CIS Market,Europian & Russian. Check-in:15:00 hours Check-out:12:00 noon",EUR 0 - EUR 0
Kaliakra Hotel,This comfortable hotel is set in Albena. A total of 272 units are available for guests' convenience at Kaliakra. Pets are not allowed at this hotel.,EUR 0 - EUR 0
Pensiunea Bella,"Situated at the entrance to Arad while arriving from Deva, Pensiunea Bella offers en-suite rooms with TV, free Wi-Fi and air conditioning. A common kitchen with a fridge as well as a garden with terrace and barbecue facilities is available at guests’ disposal.Grocery shops and a restaurant can be found within 100 metres from the guest house. The city centre and the Citadel of Arad are 5 km away, while the nearest tram stop is 100 metres away. Arad Train Station is 4.5 km from the Bella.Please inform Pensiunea Bella in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation. Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.Check-in 14:00 - 23:30Key collection at the property.",EUR 30 - EUR 60
Arabella World,"LocationThe hotel is situated in the district of Avsallar, close to a private sandy beach and a selection of tourist attractions. Alanya city centre is 20 km away, and it is 110 km from the hotel to Antalya International Airport.FacilitiesThe hotel has 87 rooms, which are located on 5 storeys and are reachable by lift. The friendly staff at the reception desk are happy to answer any questions. A currency exchange service, a TV room, a childcare service, a hairdresser and a conference room are available. Wireless internet access allows guests to stay connected while on holiday. Everyday necessities can be purchased at the supermarket. The grounds of the hotel feature a playground and a lovely garden. Guests arriving by car can park their vehicles in the car park.RoomsAir conditioning and central heating ensure that rooms maintain comfortable temperatures. Some rooms have a balcony, which gives guests additional space for rest and relaxation. Rooms have a double bed or a king-size bed. Separate bedrooms are available. A safe and a minibar are also available. Additional features include a refrigerator and a mini fridge. Equipped with a direct dial telephone, a television with satellite/cable channels, a radio and WiFi (no extra",EUR 31 - EUR 63
Princess,"Property Location Located in Amsterdam (Amsterdam West), Hostel Princess is within a 10-minute walk of Stedelijk Museum and Leidseplein. This hotel is 0.5 mi (0.8 km) from Concertgebouw and 0.5 mi (0.8 km) from Van Gogh Museum.Rooms Make yourself at home in one of the 20 guestrooms. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have showers and hair dryers. Conveniences include laptop-compatible safes and desks, and housekeeping is provided daily.Amenities Make use of convenient amenities, which include complimentary wireless Internet access and concierge services.Business, Other Amenities Featured amenities include multilingual staff, luggage storage, and a safe deposit box at the front desk.RoomsMake yourself at home in one of the 20 guestrooms. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have showers and hair dryers. Conveniences include laptop-compatible safes and desks, and housekeeping is provided daily.AmenitiesMake use of convenient amenities, which include complimentary wireless Internet access and concierge services.Business, Other AmenitiesFeatured amenities include multilingual staff, luggage storage, and a safe deposit box at the front desk.Know Before You Go Only registered guests are allowed in the guestrooms. Some facilities may have restricted access. Guests",EUR 32 - EUR 65
Elit Balchik,"Boasting a prime situation in the heart of Balchik, this charming hotel is one of the most stylish properties in the area. It features magnificent views over the botanical garden, Queen Maria palace and to the sea, as it is located within walking distance of them. This establishment offers an array of practical amenities and a quality service, providing a homely and stress-free atmosphere. The hotel offers also exceptionally spacious accommodation options, elegantly furnished and offering style and comfort-level. Each room and suite is the ideal place where to stay and leave the stress behind. The onsite facilities include a stunning indoor pool and a spa centre with sauna and Jacuzzi, all for an unforgettable stay in this beautiful country.",EUR 49 - EUR 98
Amsterdam Id Aparthotel,"EPS Location 1 and 2 With a stay at Amsterdam ID Aparthotel in Amsterdam, you'll be 3.4 mi (5.4 km) from Anne Frank House and 3.9 mi (6.3 km) from University of Amsterdam. ThisRefundable",EUR 173 - EUR 346
Emirates Park Resort,"Property Desc:Property Location Located in Abu Dhabi, Emirates Park Resort is in a provincial park, within a 15-minute drive of Emirates Park Zoo and Al Raha Beach. This 4-star aparthotel is 10.2 mi (16.4 km) from Ferrari World and 18.4 mi (29.6 km) from Sheikh Zayed Grand Mosque.Rooms Make yourself at home in one of the 83 air-conditioned rooms featuring minibars and LED televisions. Complimentary wired and wireless Internet access keeps you connected, and satellite programming provides entertainment. Private bathrooms with showers feature rainfall showerheads and complimentary toiletries. Conveniences include safes and desks, and housekeeping is provided daily.Amenities Take in the views from a terrace and make use of amenities such as complimentary wireless Internet access and concierge services. This aparthotel also features babysitting/childcare (surcharge), an arcade/game room, and gift shops/newsstands. Getting to nearby attractions is a breeze with the area shuttle (surcharge).Dining For lunch or dinner, stop by Resort Restaurant, a restaurant that specializes in Middle Eastern cuisine. Dining is also available at the 3 coffee shops/cafés, and room service (during limited hours) is provided. Wrap up your day with a drink at the poolside bar. English breakfasts are available daily from 7 AM to 10:30 AM for a",EUR 83 - EUR 167
Pensiunea Noni,"Featuring free WiFi, Pensiunea Noni offers accommodation in Azuga, 100 metres from the nearest cable car and ski slope. The guest house has views of the mountains, and guests can enjoy a drink at the bar. Free private parking is available on site.The rooms have a flat-screen TV. You will find a kettle in the room. Each room is equipped with a private bathroom with a bath or shower and shower, with free toiletries provided.There is a shared lounge at the property. At an extra fee, guests have access to a fitness room, a sauna and a hot tub.You can play billiards at this guest house, and the area is popular for hiking. Braşov is 22 km from Pensiunea Noni.Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply. Please inform Pensiunea Noni in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation. This property will not accommodate hen, stag or similar parties.Check-in 14:00 - 20:00Check-out 08:00 - 11:00Key collection at the property.",EUR 32 - EUR 65
Topola Skies Golf & Spa Resort,"Beautifully situated at the Northern Black Sea coast between Kavarna and Balchik, this resort is an ecological holiday complex on the plateau of Topola Village. Boasting magnificent views over the sea and over Thracian Cliffs, which is the biggest golf course in the region, designed by Gary Player, this establishment is a perfect holiday destination for golf enthusiasts. Cape Kaliakra, the ex-Romanian Queen Maria's Garden and Castle in Balchik and the Mussel Farm with small restaurants all can be reached within a 10-minute drive from the hotel. TOPOLA SKIES RESORT & AQUAPARK combines nature, serenity and comfort. The complex consist of 4 buildings and it offers spacious and fully furnished apartments and hotel rooms.The guests have at their disposal three areas with four heated seasonal pools, with hydromassage zones, children attractions, Fitness and Wellness center.",EUR 65 - EUR 131
Complex Prestige,"Located in Alba Iulia, a 10-minute walk from the city centre, Complex Prestige offers free WiFi, a shared terrace, a restaurant, kids' playground and a bar. Free private parking is available on site, and the closest bus stop is 250 metres away.The rooms of Complex Prestige come with a flat-screen TV with cable channels, a minibar and a bathroom with a shower and a hairdryer. Bed linen and towels are provided, as well.Breakfast is served daily at the property and dinner can be enjoyed at the in-house restaurant. In addition, guests can savour drinks at the bar. The closest shop can be found within 100 metres.Further amenities include a billiards and ping pong table, as well as a dart board.The closest train station is situated 2 km from the Complex Prestige, while the Medieval Fortress is 1.5 km away.Check-in 14:00 - 00:00Check-out 07:00 - 10:00Key collection at the property.",EUR 30 - EUR 60
Cender,"Situated in Antalya's city centre, Cender Hotel offers rooms with a private balcony featuring panoramic views of the Mediterranean Sea. Facilities include an outdoor pool and a children's pool.The air-conditioned rooms at Cender have a contemporary interior. All rooms are equipped with free Wi-Fi, satellite TV, a minibar, and an en-suite bathroom.Guests can get a relaxing massage at Cender Hotel. Other wellness facilities include a traditional Turkish bath, a sauna, and a fitness centre.Hotel Cender's restaurant offers authentic Turkish dishes as well as international cuisine. Guests can have an exotic cocktail at the hotel's bar or disco.The nearest bus stop is 80 m from Cender Hotel, and Hadrian's Gate is 1.3 km away. Free private parking is available on site.",EUR 35 - EUR 70
Concierge Athens I,"Property Location With a stay at Concierge Athens I, you'll be centrally located in Athens, just a 2-minute walk from Monastiraki Flea Market and 6 minutes by foot from Ancient AgoraRefundable",EUR 30 - EUR 61
Villas Magnolia,"LocationThis hotel is located in Albena, about 900 m from the beach.FacilitiesThe friendly staff at the reception desk are happy to answer any questions. A safe and a childcare service are available. Wireless internet access allows guests to stay connected while on holiday. Children can enjoy the playground. Guests arriving by car can park their vehicles in the car park. Services include a hotel shuttle bus.RoomsRooms are equipped with air conditioning. A balcony is among the standard amenities of some rooms. Rooms include a double bed. Valuables can be securely stored in a safe for an additional charge. A kitchenette with a refrigerator is also provided. A telephone, a TV and WiFi are provided as well. Bathrooms are equipped with a shower and a bathtub, as well as a hairdryer.Sports/EntertainmentThe outdoor pool complex includes a children's swimming area and is ideal for working out or just relaxing. Parasols and comfortable sun loungers are available on the sun terrace. There are many ways to relax or stay active at the hotel, including beach volleyball, a gym and aerobics. An entertainment programme and a kids' club are also options for entertainment. Copyright GIATA 2004 - 2019. Multilingual, powered by www.giata.com for client",EUR 51 - EUR 102
Crown Royal Pensiune,"LocationThis hotel is located in Alba Iulia.FacilitiesThe hotel provides guests with a range of services and facilities, making it ideal for business travellers and holidaymakers alike. Wireless internet access is provided in public areas. Guests arriving by car can park their vehicles in the car park.RoomsAir conditioning ensures that rooms maintain just the right temperature. Extra beds can be requested. Guests will also find a refrigerator included among the standard features. A TV and WiFi provide all the essentials for a comfortable holiday. Amenities in the bathrooms include a shower. Copyright GIATA 2004 - 2019. Multilingual, powered by www.giata.com for client no. 124971MealsA fortifying breakfast is served daily.",EUR 27 - EUR 54
Hma Hotel And Suites,"Property Location . With a stay at HMA Apart Hotel in Alanya, you'll be within a 15-minute walk of Alanya Aquapark and Alanya Ataturk House Museum. This aparthotel is 0.4 mi (0.6 km) from Alanya Harbor and 0.6 mi (0.9 km) from Alanya Gardens. Rooms . Make yourself at home in one of the 40 guestrooms, featuring kitchens. Your bed comes with Egyptian cotton sheets, and all rooms are furnished with single sofa beds. Rooms have private balconies. 32-inch LED televisions are provided, with satellite programming available. Amenities . Take advantage of recreation opportunities such as a seasonal outdoor pool, or other amenities including complimentary wireless Internet access and concierge services. Dining . Enjoy a meal at the restaurant, or stay in and take advantage of the aparthotel's 24-hour room service. Wrap up your day with a drink at the bar/lounge. Full breakfasts are available daily from 8 AM to 10:30 AM for a fee. Business, Other Amenities . Featured amenities include dry cleaning/laundry services, a 24-hour front desk, and a safe deposit box at the front desk. A roundtrip airport shuttle is provided for a surcharge (available 24 hours).",EUR 11 - EUR 23
Vossius Vondelpark,"LocationThis hotel is located in the centre of Amsterdam.FacilitiesThe hotel has 39 rooms and includes a lift and a 24-hour reception desk. To ensure guests a comfortable and relaxing stay, the hotel provides various services and facilities, including a baggage storage service and a business centre. Wireless internet access is provided in public areas. A garden provides extra space for rest and relaxation in the open air. Guests arriving by car can park their vehicles in the car park.RoomsA range of amenities complete the standard furnishings. Valuables can be securely stored in a safe.Sports/EntertainmentFine weather can be enjoyed on the terrace. Copyright GIATA 2004 - 2019. Multilingual, powered by www.giata.com for client no. 124971",EUR 36 - EUR 72
Amsterdam Forest,"EPS Location 1 and 2 With a stay at Amsterdam Forest Hotel, you'll be centrally located in Amstelveen, within a 10-minute drive of Olympic Stadium and Museum Square. ThisRefundable",EUR 41 - EUR 82
Dinostratus House,"Property Location Located in Athens (Neos Kosmos), Dinostratus House is within a 15-minute walk of Arch of Hadrian and Acropolis Museum. This apartment is 0.6 mi (1 km) from TempleRefundable",EUR 0 - EUR 0
Trianon,"EPS Location 1 and 2 With a stay at Trianon Hotel in Abu Dhabi (Abu Dhabi City Center), you'll be a 4-minute drive from The Corniche and 7 minutes from Abu Dhabi Mall. This hotel isNonrefundable",EUR 52 - EUR 104
Blacksearama Golf And Villas,"LocationThis hotel is located in Balchik. The nearest airport is Varna (VAR).FacilitiesThe hotel has 30 rooms. The hotel provides a playroom, room service and a laundry service. Guests of the hotel can enjoy various recreational facilities, including the garden, during their stay. Guests arriving by car can park their vehicles in the car park. A bicycle hire service provides all the necessary equipment for exploring the surrounding area.RoomsRooms feature a living area, a kitchen and a bathroom. Air conditioning and central heating ensure comfortable temperatures. Guests can enjoy the sea view from a balcony or terrace. Separate bedrooms can be booked. There is also a safe and a minibar for an additional fee. A kitchenette with a refrigerator and a tea/coffee station is also provided as standard. A telephone, a TV and WiFi (no extra charge) provide all the essentials for a comfortable holiday. A hairdryer and bathrobes are available in the bathrooms, which are equipped with a shower.Sports/EntertainmentIdeal for working out or just relaxing, the pool complex features an indoor area and a children's pool. Guests can relax and enjoy the sun loungers and parasols provided. A hot tub can soothe sore muscles (for a fee). The hotel offers",EUR 193 - EUR 386
Margarita Napa Hotel Apts,"This enchanting hotel boasts a privileged location in Ayia Napa, just a few steps from the gorgeous sandy beach and right in the heart of the vibrant tourist resort. Within walking distance visitors will find a myriad of restaurants, bars, shopping opportunities and entertainment venues such as the popular amusement park or public swimming pool adjacent to the property. This attractive establishment showcases self-catering studios and apartments. The units showcase spacious and luminous surroundings fitted with commodious furniture and decorated in soothing tones. Visitors may enjoy mouth-watering dishes at the on-site restaurant and cafeteria and on warm days freshen up in the shimmering pool situated in the sister hotel. Travellers may also make use of the free parking and in case of any query turn to the friendly staff at the 24-hour reception.",EUR 24 - EUR 48
